ZIP,LAT,LNG,zip_prefix,state_abb,city,state_full
01603,42.243826,-71.843569,016,MA,WORCESTER,massachusetts
01604,42.253254,-71.767957,016,MA,WORCESTER,massachusetts
01605,42.289683,-71.787793,016,MA,WORCESTER,massachusetts
01606,42.315249,-71.795741,016,MA,WORCESTER,massachusetts
01607,42.225974,-71.788894,016,MA,WORCESTER,massachusetts
01608,42.26198,-71.801462,016,MA,WORCESTER,massachusetts
01609,42.285114,-71.829987,016,MA,WORCESTER,massachusetts
01610,42.247049,-71.808366,016,MA,WORCESTER,massachusetts
01611,42.237604,-71.875838,016,MA,WORCESTER,massachusetts
01612,42.296798,-71.928991,016,MA,WORCESTER,massachusetts
01701,42.319587,-71.4428,017,MA,CENTRAL,massachusetts
01702,42.282379,-71.436621,017,MA,CENTRAL,massachusetts
01718,42.519816,-71.429283,017,MA,CENTRAL,massachusetts
01719,42.485985,-71.520985,017,MA,CENTRAL,massachusetts
01720,42.483953,-71.438495,017,MA,CENTRAL,massachusetts
01721,42.257755,-71.473526,017,MA,CENTRAL,massachusetts
01730,42.499295,-71.281889,017,MA,CENTRAL,massachusetts
01731,42.456748,-71.279484,017,MA,CENTRAL,massachusetts
01740,42.439941,-71.601879,017,MA,CENTRAL,massachusetts
01741,42.53662,-71.361832,017,MA,CENTRAL,massachusetts
01742,42.462911,-71.364496,017,MA,CENTRAL,massachusetts
01745,42.292114,-71.499197,017,MA,CENTRAL,massachusetts
01746,42.195951,-71.45343,017,MA,CENTRAL,massachusetts
01747,42.123007,-71.531404,017,MA,CENTRAL,massachusetts
01748,42.224096,-71.540489,017,MA,CENTRAL,massachusetts
01749,42.389071,-71.545864,017,MA,CENTRAL,massachusetts
01752,42.349617,-71.547214,017,MA,CENTRAL,massachusetts
01754,42.425955,-71.456256,017,MA,CENTRAL,massachusetts
01756,42.09387,-71.544519,017,MA,CENTRAL,massachusetts
01757,42.158692,-71.521419,017,MA,CENTRAL,massachusetts
01760,42.284822,-71.348811,017,MA,CENTRAL,massachusetts
01770,42.231947,-71.372963,017,MA,CENTRAL,massachusetts
01772,42.302877,-71.530828,017,MA,CENTRAL,massachusetts
01773,42.425506,-71.310812,017,MA,CENTRAL,massachusetts
01775,42.429688,-71.512514,017,MA,CENTRAL,massachusetts
01776,42.383367,-71.42107,017,MA,CENTRAL,massachusetts
01778,42.343687,-71.381186,017,MA,CENTRAL,massachusetts
01801,42.488769,-71.154438,018,MA,MIDDLESEX-ESX,massachusetts
01803,42.503227,-71.201713,018,MA,MIDDLESEX-ESX,massachusetts
01810,42.648044,-71.161751,018,MA,MIDDLESEX-ESX,massachusetts
01821,42.54933,-71.251725,018,MA,MIDDLESEX-ESX,massachusetts
01824,42.59079,-71.355182,018,MA,MIDDLESEX-ESX,massachusetts
01826,42.679723,-71.30068,018,MA,MIDDLESEX-ESX,massachusetts
01827,42.676149,-71.499772,018,MA,MIDDLESEX-ESX,massachusetts
01830,42.796313,-71.053436,018,MA,MIDDLESEX-ESX,massachusetts
01832,42.791114,-71.132859,018,MA,MIDDLESEX-ESX,massachusetts
01833,42.727879,-70.982036,018,MA,MIDDLESEX-ESX,massachusetts
01834,42.7539,-71.015935,018,MA,MIDDLESEX-ESX,massachusetts
01835,42.751233,-71.0943,018,MA,MIDDLESEX-ESX,massachusetts
01840,42.706763,-71.160403,018,MA,MIDDLESEX-ESX,massachusetts
01841,42.712015,-71.164873,018,MA,MIDDLESEX-ESX,massachusetts
01843,42.689974,-71.160383,018,MA,MIDDLESEX-ESX,massachusetts
01844,42.742468,-71.179218,018,MA,MIDDLESEX-ESX,massachusetts
01845,42.673909,-71.091334,018,MA,MIDDLESEX-ESX,massachusetts
01850,42.656045,-71.303309,018,MA,MIDDLESEX-ESX,massachusetts
01851,42.627812,-71.33533,018,MA,MIDDLESEX-ESX,massachusetts
01852,42.631912,-71.296025,018,MA,MIDDLESEX-ESX,massachusetts
01854,42.649481,-71.348229,018,MA,MIDDLESEX-ESX,massachusetts
01860,42.838603,-71.011997,018,MA,MIDDLESEX-ESX,massachusetts
01862,42.578543,-71.295592,018,MA,MIDDLESEX-ESX,massachusetts
01863,42.63378,-71.38947,018,MA,MIDDLESEX-ESX,massachusetts
01864,42.578222,-71.084398,018,MA,MIDDLESEX-ESX,massachusetts
01867,42.535183,-71.105423,018,MA,MIDDLESEX-ESX,massachusetts
01876,42.611801,-71.227571,018,MA,MIDDLESEX-ESX,massachusetts
01879,42.667762,-71.42882,018,MA,MIDDLESEX-ESX,massachusetts
01880,42.501524,-71.067489,018,MA,MIDDLESEX-ESX,massachusetts
01886,42.585541,-71.44025,018,MA,MIDDLESEX-ESX,massachusetts
01887,42.564647,-71.164516,018,MA,MIDDLESEX-ESX,massachusetts
01890,42.452752,-71.144319,018,MA,MIDDLESEX-ESX,massachusetts
01901,42.460419,-70.946379,019,MA,MIDDLESEX-ESX,massachusetts
01902,42.471039,-70.941535,019,MA,MIDDLESEX-ESX,massachusetts
01904,42.492456,-70.97393,019,MA,MIDDLESEX-ESX,massachusetts
01905,42.465998,-70.975792,019,MA,MIDDLESEX-ESX,massachusetts
01906,42.468432,-71.013946,019,MA,MIDDLESEX-ESX,massachusetts
01907,42.474145,-70.906597,019,MA,MIDDLESEX-ESX,massachusetts
